"TimePeriod","GeoTypeDesc","GeoID","GeoRank","BoroID","Borough","Geography","Area","Bicycle (number)","Car, truck, or van (number)","Public transportation (number)","Walked (number)","Bicycle (percent)","Car, truck, or van (percent)","Public transportation (percent)","Walked (percent)"
"2017-21","Citywide","1","0","-","-","New York City","New York City","54,919","1,082,647","2,007,988","384,380","1.4","26.8","49.7","9.5"
"2017-21","Borough","3","1","3","Manhattan","Manhattan","Manhattan","20,706","67,721","450,560","167,318","2.3","7.6","50.8","18.9"
"2017-21","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","24,134","274,494","663,716","104,403","2.0","22.3","53.8","8.5"
"2017-21","Borough","1","1","1","Bronx","Bronx","Bronx","2,589","164,218","324,274","41,772","0.4","28.4","56.1","7.2"
"2017-21","Borough","4","1","4","Queens","Queens","Queens","7,082","437,872","511,929","64,864","0.6","38.9","45.5","5.8"
"2017-21","Borough","5","1","5","Staten Island","Staten Island","Staten Island","408","138,342","57,509","6,023","0.2","63.0","26.2","2.7"
"2016-20","Citywide","1","0","-","-","New York City","New York City","51,648","1,050,535","2,072,840","383,653","1.3","26.8","52.8","9.8"
"2016-20","Borough","3","1","3","Manhattan","Manhattan","Manhattan","19,786","67,507","480,245","172,404","2.3","7.7","54.9","19.7"
"2016-20","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","22,710","264,021","682,380","101,009","1.9","22.4","57.8","8.6"
"2016-20","Borough","1","1","1","Bronx","Bronx","Bronx","2,687","163,626","327,933","41,745","0.5","28.6","57.4","7.3"
"2016-20","Borough","4","1","4","Queens","Queens","Queens","6,115","419,816","522,598","62,606","0.6","38.8","48.2","5.8"
"2016-20","Borough","5","1","5","Staten Island","Staten Island","Staten Island","350","135,565","59,684","5,889","0.2","63.6","28.0","2.8"
"2015-19","Citywide","1","0","-","-","New York City","New York City","50,272","1,063,173","2,229,452","397,335","1.3","26.7","56.0","10.0"
"2015-19","Borough","3","1","3","Manhattan","Manhattan","Manhattan","20,048","69,935","521,545","181,188","2.3","7.9","58.8","20.4"
"2015-19","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","21,439","269,307","733,657","103,834","1.8","22.5","61.2","8.7"
"2015-19","Borough","1","1","1","Bronx","Bronx","Bronx","2,318","162,202","348,100","43,001","0.4","27.8","59.8","7.4"
"2015-19","Borough","4","1","4","Queens","Queens","Queens","6,008","426,629","563,503","63,832","0.5","38.7","51.1","5.8"
"2015-19","Borough","5","1","5","Staten Island","Staten Island","Staten Island","459","135,100","62,647","5,480","0.2","64.0","29.7","2.6"
"2014-18","Citywide","1","0","-","-","New York City","New York City","47,434","1,060,311","2,223,087","392,607","1.2","26.8","56.2","9.9"
"2014-18","Borough","3","1","3","Manhattan","Manhattan","Manhattan","19,012","69,923","521,777","178,492","2.2","7.9","59.3","20.3"
"2014-18","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","20,375","270,106","729,737","103,348","1.7","22.7","61.4","8.7"
"2014-18","Borough","1","1","1","Bronx","Bronx","Bronx","2,056","160,062","346,240","42,710","0.4","27.7","59.9","7.4"
"2014-18","Borough","4","1","4","Queens","Queens","Queens","5,511","426,687","563,428","62,728","0.5","38.9","51.3","5.7"
"2014-18","Borough","5","1","5","Staten Island","Staten Island","Staten Island","480","133,533","61,905","5,329","0.2","64.1","29.7","2.6"
"2013-17","Citywide","1","0","-","-","New York City","New York City","47,047","1,057,885","2,247,732","396,134","1.2","26.6","56.5","10.0"
"2013-17","Borough","3","1","3","Manhattan","Manhattan","Manhattan","18,656","69,613","528,413","181,289","2.1","7.8","59.4","20.4"
"2013-17","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","20,058","269,206","735,534","101,799","1.7","22.6","61.8","8.6"
"2013-17","Borough","1","1","1","Bronx","Bronx","Bronx","2,316","157,838","347,158","43,605","0.4","27.4","60.2","7.6"
"2013-17","Borough","4","1","4","Queens","Queens","Queens","5,660","427,291","573,952","64,241","0.5","38.5","51.7","5.8"
"2013-17","Borough","5","1","5","Staten Island","Staten Island","Staten Island","357","133,937","62,675","5,200","0.2","64.0","29.9","2.5"
"2012-16","Citywide","1","0","-","-","New York City","New York City","43,955","1,037,311","2,205,425","391,365","1.1","26.6","56.6","10.0"
"2012-16","Borough","3","1","3","Manhattan","Manhattan","Manhattan","16,563","68,659","518,573","180,220","1.9","7.8","59.2","20.6"
"2012-16","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","19,300","265,480","719,776","101,038","1.7","22.8","61.8","8.7"
"2012-16","Borough","1","1","1","Bronx","Bronx","Bronx","1,909","153,261","337,095","42,655","0.3","27.4","60.2","7.6"
"2012-16","Borough","4","1","4","Queens","Queens","Queens","5,920","417,418","567,642","62,474","0.5","38.3","52.0","5.7"
"2012-16","Borough","5","1","5","Staten Island","Staten Island","Staten Island","263","132,493","62,339","4,978","0.1","64.1","30.1","2.4"
"2011-15","Citywide","1","0","-","-","New York City","New York City","39,855","1,024,183","2,169,774","390,293","1.0","26.7","56.5","10.2"
"2011-15","Borough","3","1","3","Manhattan","Manhattan","Manhattan","14,547","69,612","513,185","179,198","1.7","8.0","59.2","20.7"
"2011-15","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","17,525","263,270","705,103","100,234","1.5","23.0","61.7","8.8"
"2011-15","Borough","1","1","1","Bronx","Bronx","Bronx","1,726","149,417","327,310","43,569","0.3","27.3","59.7","8.0"
"2011-15","Borough","4","1","4","Queens","Queens","Queens","5,715","409,145","562,857","62,079","0.5","38.0","52.3","5.8"
"2011-15","Borough","5","1","5","Staten Island","Staten Island","Staten Island","342","132,739","61,319","5,213","0.2","64.5","29.8","2.5"
"2010-14","Citywide","1","0","-","-","New York City","New York City","37,009","1,015,076","2,113,466","380,414","1.0","27.0","56.2","10.1"
"2010-14","Borough","3","1","3","Manhattan","Manhattan","Manhattan","12,863","69,978","503,938","176,407","1.5","8.2","59.1","20.7"
"2010-14","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","16,350","260,389","686,149","96,065","1.5","23.3","61.5","8.6"
"2010-14","Borough","1","1","1","Bronx","Bronx","Bronx","1,804","147,074","315,796","42,212","0.3","27.6","59.3","7.9"
"2010-14","Borough","4","1","4","Queens","Queens","Queens","5,733","405,292","547,855","60,145","0.5","38.4","51.9","5.7"
"2010-14","Borough","5","1","5","Staten Island","Staten Island","Staten Island","259","132,343","59,728","5,585","0.1","64.8","29.2","2.7"
"2009-13","Citywide","1","0","-","-","New York City","New York City","32,879","1,011,758","2,067,531","377,698","0.9","27.3","55.9","10.2"
"2009-13","Borough","3","1","3","Manhattan","Manhattan","Manhattan","11,166","70,978","492,321","175,386","1.3","8.5","58.7","20.9"
"2009-13","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","14,657","259,350","665,867","95,145","1.3","23.8","61.1","8.7"
"2009-13","Borough","1","1","1","Bronx","Bronx","Bronx","1,670","148,506","308,251","41,836","0.3","28.3","58.8","8.0"
"2009-13","Borough","4","1","4","Queens","Queens","Queens","5,202","402,727","539,799","59,914","0.5","38.6","51.7","5.7"
"2009-13","Borough","5","1","5","Staten Island","Staten Island","Staten Island","184","130,197","61,293","5,417","0.1","64.1","30.2","2.7"